Integer,Small,QuickSort,9200
Integer,Medium,QuickSort,79600
Integer,Big,QuickSort,390200
Integer,Huge,QuickSort,2218000
Integer,Mid,QuickSort,1363800
Integer,Small,BubbleSortWhileNeeded,4300
Integer,Medium,BubbleSortWhileNeeded,185000
Integer,Big,BubbleSortWhileNeeded,5114600
Integer,Huge,BubbleSortWhileNeeded,147542300
Integer,Mid,BubbleSortWhileNeeded,29996100
Integer,Small,BubbleSortUntilNoChange,9900
Integer,Medium,BubbleSortUntilNoChange,328300
Integer,Big,BubbleSortUntilNoChange,11275400
Integer,Huge,BubbleSortUntilNoChange,206916500
Integer,Mid,BubbleSortUntilNoChange,46998100
Integer,Small,SelectionSort,10700
Integer,Medium,SelectionSort,117200
Integer,Big,SelectionSort,3160000
Integer,Huge,SelectionSort,152827900
Integer,Mid,SelectionSort,33410500
Character,Small,QuickSort,44500
Character,Medium,QuickSort,76900
Character,Big,QuickSort,636600
Character,Huge,QuickSort,34052600
Character,Mid,QuickSort,927600
Character,Small,BubbleSortWhileNeeded,11400
Character,Medium,BubbleSortWhileNeeded,76400
Character,Big,BubbleSortWhileNeeded,3680100
Character,Huge,BubbleSortWhileNeeded,99732100
Character,Mid,BubbleSortWhileNeeded,26059200
Character,Small,BubbleSortUntilNoChange,10200
Character,Medium,BubbleSortUntilNoChange,301400
Character,Big,BubbleSortUntilNoChange,4592800
Character,Huge,BubbleSortUntilNoChange,165508500
Character,Mid,BubbleSortUntilNoChange,40796600
Character,Small,SelectionSort,33400
Character,Medium,SelectionSort,175400
Character,Big,SelectionSort,7161600
Character,Huge,SelectionSort,60707400
Character,Mid,SelectionSort,9089800
Byte,Small,QuickSort,55700
Byte,Medium,QuickSort,121400
Byte,Big,QuickSort,436200
Byte,Huge,QuickSort,4092500
Byte,Mid,QuickSort,470600
Byte,Small,BubbleSortWhileNeeded,51700
Byte,Medium,BubbleSortWhileNeeded,206200
Byte,Big,BubbleSortWhileNeeded,2963600
Byte,Huge,BubbleSortWhileNeeded,166769900
Byte,Mid,BubbleSortWhileNeeded,36425900
Byte,Small,BubbleSortUntilNoChange,34700
Byte,Medium,BubbleSortUntilNoChange,337800
Byte,Big,BubbleSortUntilNoChange,4299600
Byte,Huge,BubbleSortUntilNoChange,308864600
Byte,Mid,BubbleSortUntilNoChange,73725200
Byte,Small,SelectionSort,33800
Byte,Medium,SelectionSort,158800
Byte,Big,SelectionSort,1848400
Byte,Huge,SelectionSort,113372200
Byte,Mid,SelectionSort,31047000
Float,Small,QuickSort,16500
Float,Medium,QuickSort,52400
Float,Big,QuickSort,133000
Float,Huge,QuickSort,1284700
Float,Mid,QuickSort,424500
Float,Small,BubbleSortWhileNeeded,8600
Float,Medium,BubbleSortWhileNeeded,22900
Float,Big,BubbleSortWhileNeeded,1976400
Float,Huge,BubbleSortWhileNeeded,197566000
Float,Mid,BubbleSortWhileNeeded,49947100
Float,Small,BubbleSortUntilNoChange,12000
Float,Medium,BubbleSortUntilNoChange,38400
Float,Big,BubbleSortUntilNoChange,4001900
Float,Huge,BubbleSortUntilNoChange,363977700
Float,Mid,BubbleSortUntilNoChange,85743600
Float,Small,SelectionSort,17300
Float,Medium,SelectionSort,18800
Float,Big,SelectionSort,1638900
Float,Huge,SelectionSort,158173700
Float,Mid,SelectionSort,39050300
Double,Small,QuickSort,9600
Double,Medium,QuickSort,43800
Double,Big,QuickSort,165500
Double,Huge,QuickSort,998600
Double,Mid,QuickSort,402600
Double,Small,BubbleSortWhileNeeded,900
Double,Medium,BubbleSortWhileNeeded,21100
Double,Big,BubbleSortWhileNeeded,2752900
